CATEGORY,SUBCAT_GRP,SUBCATEGORY,ITEM_NAME,VENDOR_NAME,Brand,Yesterday_Sales_ThisYear,Yesterday_Sales_LastYear,WeekToDate_Sales_ThisYear,WeekToDate_Sales_LastYear,LastWeek_Sales_ThisYear,LastWeek_Sales_LastYear,MonthToDate_Sales_ThisYear,MonthToDate_Sales_LastYear,YearToDate_Sales_ThisYear,YearToDate_Sales_LastYear,Yesterday_Units_ThisYear,Yesterday_Units_LastYear,WeekToDate_Units_ThisYear,WeekToDate_Units_LastYear,LastWeek_Units_ThisYear,LastWeek_Units_LastYear,MonthToDate_Units_ThisYear,MonthToDate_Units_LastYear,YearToDate_Units_ThisYear,YearToDate_Units_LastYear
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item1,Supplier508,Private,"$24,818 ","$30,636 ","$1,044,013 ","$998,877 ","$103,686 ","$108,163 ","$2,453,268 ","$2,165,495 ","$11,730,586 ","$9,897,464 ", 828 ," 1,231 "," 34,817 "," 40,143 "," 3,576 "," 4,348 "," 85,208 "," 87,022 "," 402,063 "," 397,496 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item2,Supplier410,National,"$95,579 ","$69,911 ","$781,038 ","$450,049 ","$177,679 ","$205,034 ","$2,229,411 ","$1,925,906 ","$4,015,023 ","$3,551,477 "," 2,531 "," 1,748 "," 20,901 "," 11,259 "," 4,340 "," 5,130 "," 56,265 "," 48,185 "," 107,888 "," 98,855 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item3,Supplier196,National,"$14,252 ","$14,974 ","$886,036 ","$737,092 ","$650,074 ","$721,363 ","$773,975 ","$724,320 ","$2,458,423 ","$2,367,260 ", 361 , 405 ," 22,440 "," 19,950 "," 16,464 "," 19,525 "," 19,603 "," 19,606 "," 62,263 "," 66,163 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item4,Supplier426,National,"$91,517 ","$85,862 ","$148,570 ","$122,628 ","$754,152 ","$1,041,847 ","$607,289 ","$720,291 ","$7,589,960 ","$9,318,115 "," 2,289 "," 2,143 "," 3,716 "," 3,070 "," 18,864 "," 28,102 "," 15,197 "," 19,965 "," 188,387 "," 251,517 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item5,Supplier508,Private,"$4,559 ","$4,199 ","$484,586 ","$355,222 ","$131,865 ","$130,266 ","$1,262,875 ","$1,094,563 ","$2,237,345 ","$2,000,964 ", 152 , 141 ," 16,164 "," 11,890 "," 4,399 "," 4,362 "," 42,124 "," 36,651 "," 74,627 "," 75,076 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item6,Supplier426,National,"$46,281 ","$47,999 ","$215,902 ","$183,884 ","$500,254 ","$649,183 ","$1,269,790 ","$1,471,009 ","$6,253,288 ","$7,224,037 "," 1,089 "," 1,140 "," 5,083 "," 4,370 "," 11,778 "," 16,528 "," 29,928 "," 38,523 "," 145,960 "," 184,198 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item7,Supplier508,Private,"$50,768 ","$45,978 ","$116,805 ","$91,575 ","$416,347 ","$451,914 ","$155,765 ","$144,879 ","$6,459,207 ","$5,877,757 "," 1,693 "," 1,538 "," 3,895 "," 3,063 "," 13,886 "," 15,122 "," 5,195 "," 4,848 "," 215,369 "," 219,482 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item8,Supplier410,National,"$51,314 ","$65,618 ","$449,975 ","$444,865 ","$470,052 ","$602,189 ","$669,934 ","$725,356 ","$1,474,026 ","$1,436,510 "," 1,223 "," 1,641 "," 10,721 "," 11,130 "," 11,194 "," 15,066 "," 15,957 "," 18,147 "," 38,829 "," 39,776 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item9,Supplier196,National,"$28,326 ","$34,695 ","$307,658 ","$288,947 ","$90,695 ","$124,389 ","$1,110,203 ","$1,265,308 ","$3,827,737 ","$4,425,666 ", 781 ," 1,049 "," 8,480 "," 8,738 "," 2,500 "," 4,063 "," 30,604 "," 40,911 "," 105,554 "," 146,591 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item10,Supplier508,Private,"$4,587 ","$3,815 ","$222,974 ","$143,650 ","$278,421 ","$274,070 ","$140,495 ","$113,424 ","$2,553,941 ","$2,144,772 ", 153 , 128 ," 7,438 "," 4,809 "," 9,287 "," 9,174 "," 4,686 "," 3,797 "," 85,198 "," 80,605 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item11,Supplier508,Private,"$26,216 ","$25,518 ","$13,552 ","$11,005 ","$77,006 ","$80,275 ","$227,841 ","$208,333 ","$93,660 ","$86,521 ", 874 , 854 , 452 , 368 ," 2,569 "," 2,687 "," 7,600 "," 6,973 "," 3,124 "," 3,236 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item12,Supplier508,Private,"$6,276 ","$6,894 ","$18,166 ","$15,901 ","$49,492 ","$57,696 ","$78,557 ","$79,736 ","$1,024,410 ","$1,045,172 ", 257 , 344 , 743 , 794 ," 2,023 "," 2,883 "," 3,211 "," 3,984 "," 41,874 "," 52,232 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item13,Supplier196,National,"$26,003 ","$26,289 ","$89,794 ","$73,547 ","$157,457 ","$176,260 ","$353,468 ","$335,569 ","$992,902 ","$901,351 ", 579 , 627 ," 1,999 "," 1,757 "," 3,506 "," 4,212 "," 7,869 "," 8,019 "," 22,160 "," 21,981 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item14,Supplier196,National,"$23,421 ","$21,204 ","$80,542 ","$60,772 ","$12,366 ","$11,791 ","$141,334 ","$116,571 ","$169,043 ","$137,866 ", 593 , 573 ," 2,041 "," 1,643 ", 316 , 319 ," 3,604 "," 3,152 "," 4,318 "," 3,840 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item15,Supplier196,National,"$5,195 ","$5,695 ","$130,298 ","$128,462 ","$91,033 ","$124,849 ","$373,531 ","$434,497 ","$1,377,848 ","$1,462,760 ", 163 , 190 ," 4,101 "," 4,285 "," 2,877 "," 4,164 "," 11,804 "," 14,493 "," 43,835 "," 48,793 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item16,Supplier196,National,"$3,540 ","$3,790 ","$96,704 ","$78,575 ","$97,543 ","$116,698 ","$436,568 ","$429,625 ","$992,880 ","$926,266 ", 142 , 165 ," 3,877 "," 3,421 "," 3,916 "," 5,080 "," 17,538 "," 18,702 "," 39,901 "," 41,038 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item17,Supplier412,National,"$23,281 ","$20,117 ","$129,679 ","$88,956 ","$9,158 ","$7,242 ","$75,788 ","$56,918 ","$826,771 ","$724,107 ", 577 , 525 ," 3,216 "," 2,320 ", 227 , 189 ," 1,880 "," 1,486 "," 20,505 "," 19,996 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item18,Supplier508,National,$44 ,$59 ,"$130,676 ","$137,279 ","$58,775 ","$64,044 ","$457,063 ","$403,797 ","$2,193,338 ","$1,987,692 ", 1 , 2 ," 3,063 "," 3,475 "," 1,480 "," 1,622 "," 11,622 "," 10,224 "," 54,451 "," 50,337 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item19,Supplier196,National,"$5,631 ","$6,920 ","$122,572 ","$128,727 ","$106,202 ","$144,742 ","$258,680 ","$297,117 ","$814,948 ","$909,342 ", 125 , 166 ," 2,731 "," 3,089 "," 2,365 "," 3,480 "," 5,761 "," 7,139 "," 18,187 "," 22,326 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item20,Supplier426,National,"$6,919 ","$7,316 ","$136,315 ","$112,128 ","$136,369 ","$119,700 ","$266,731 ","$217,726 ","$769,807 ","$611,329 ", 183 , 194 ," 3,608 "," 2,976 "," 3,609 "," 3,179 "," 7,060 "," 5,781 "," 20,212 "," 16,246 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item21,Supplier508,Private,"$14,561 ","$12,920 ","$27,951 ","$20,807 ","$4,433 ","$4,320 ","$406,887 ","$333,370 ","$1,232,873 ","$1,079,479 ", 486 , 432 , 932 , 695 , 148 , 144 ," 13,573 "," 11,142 "," 41,125 "," 40,324 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item22,Supplier196,National,"$13,799 ","$13,192 ","$67,766 ","$59,602 ","$59,925 ","$68,682 ","$327,735 ","$319,346 ","$1,197,678 ","$1,010,074 ", 307 , 315 ," 1,508 "," 1,421 "," 1,362 "," 1,637 "," 7,520 "," 7,613 "," 29,052 "," 24,590 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item23,Supplier196,National,"$12,193 ","$9,898 ","$80,322 ","$69,464 ","$87,988 ","$103,128 ","$9,975 ","$9,799 ","$390,280 ","$384,553 ", 271 , 236 ," 1,788 "," 1,654 "," 1,959 "," 2,458 ", 222 , 233 ," 8,758 "," 9,352 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item24,Supplier135,National,"$12,962 ","$9,103 ","$14,227 ","$7,481 ","$98,029 ","$78,519 ","$5,191 ","$3,636 ","$463,687 ","$343,447 ", 345 , 276 , 424 , 227 ," 2,977 "," 2,522 ", 157 , 120 ," 13,323 "," 11,097 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item25,Supplier196,National,"$3,607 ","$4,678 ","$25,687 ","$27,414 ","$13,030 ","$18,877 ","$58,441 ","$69,488 ","$916,401 ","$1,048,300 ", 81 , 112 , 579 , 655 , 293 , 450 ," 1,331 "," 1,658 "," 21,072 "," 25,549 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item26,Supplier135,National,"$8,196 ","$4,529 ","$23,839 ","$12,766 ","$41,747 ","$32,541 ","$6,756 ","$4,825 ","$460,475 ","$372,126 ", 211 , 137 , 699 , 387 ," 1,249 "," 1,016 ", 201 , 154 ," 13,082 "," 11,670 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item27,Supplier135,National,"$3,487 ",$0 ,"$34,638 ",$0 ,"$3,066 ",$0 ,"$53,978 ",$0 ,"$96,596 ",$0 , 249 , -   ," 2,477 ", -   , 222 , -   ," 3,880 ", -   ," 6,970 ", -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item28,Supplier426,National,"$4,807 ","$4,380 ","$33,000 ","$30,941 ","$40,694 ","$49,318 ","$12,186 ","$15,229 ","$259,284 ","$295,332 ", 113 , 103 , 777 , 729 , 958 ," 1,259 ", 287 , 396 ," 6,038 "," 7,510 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item29,Supplier196,National,"$1,722 ",$0 ,"$10,877 ",$0 ,"$22,435 ",$0 ,"$151,166 ",$0 ,"$1,573,115 ",$0 , 88 , -   , 553 , -   ," 1,140 ", -   ," 7,500 ", -   ," 72,583 ", -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item30,Supplier410,National,"$7,259 ","$7,810 ","$32,605 ","$31,796 ","$11,299 ","$16,370 ","$5,953 ","$6,589 ","$456,786 ","$299,416 ", 173 , 195 , 777 , 794 , 269 , 409 , 142 , 165 ," 12,306 "," 8,582 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item31,Supplier135,National,"$6,498 ","$3,961 ","$26,381 ","$17,719 ","$21,731 ","$24,476 ","$114,790 ","$102,331 ","$105,038 ","$95,075 ", 169 , 120 , 778 , 538 , 659 , 768 ," 3,443 "," 3,270 "," 2,997 "," 2,989 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item32,Supplier426,National,$14 ,$15 ,"$30,512 ","$27,250 ","$22,389 ","$32,913 ","$13,295 ","$17,322 ","$55,590 ","$78,827 ", 0 , 0 , 729 , 644 , 531 , 842 , 315 , 451 ," 1,296 "," 1,998 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item33,Supplier412,National,"$2,719 ","$1,521 ","$1,579 ","$1,318 ","$9,458 ","$12,095 ","$31,781 ","$29,514 ","$114,536 ","$113,172 ", 67 , 40 , 39 , 34 , 235 , 315 , 788 , 768 ," 2,837 "," 3,131 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item34,Supplier135,National,$149 ,$0 ,"$13,896 ",$0 ,"$17,378 ",$0 ,"$45,840 ",$0 ,"$300,879 ",$0 , 11 , -   , 994 , -   ," 1,275 ", -   ," 3,358 ", -   ," 21,857 ", -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item35,Supplier196,National,"$4,960 ","$5,547 ","$10,883 ","$16,284 ","$24,071 ","$25,036 ","$27,912 ","$31,041 ","$66,626 ","$61,217 ", 137 , 166 , 300 , 489 , 663 , 823 , 769 , 996 ," 1,836 "," 2,012 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item36,Supplier410,National,"$4,859 ","$6,817 ","$15,956 ","$17,742 ","$16,867 ","$23,110 ","$95,443 ","$107,615 ","$174,239 ","$123,063 ", 119 , 175 , 390 , 454 , 412 , 592 ," 2,330 "," 2,757 "," 4,835 "," 3,577 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item37,Supplier135,National,"$1,915 ","$2,631 ","$11,389 ","$12,629 ","$12,422 ","$17,067 ","$13,574 ","$15,831 ","$182,731 ","$197,123 ", 42 , 66 , 248 , 315 , 270 , 427 , 295 , 396 ," 3,974 "," 4,929 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item38,Supplier196,National,$819 ,$628 ,"$15,589 ","$14,842 ","$3,543 ","$3,283 ","$58,566 ","$58,495 ","$295,492 ","$322,000 ", 20 , 16 , 390 , 385 , 89 , 85 ," 1,464 "," 1,566 "," 7,339 "," 9,067 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item39,Supplier508,National,"$2,621 ","$2,639 ","$16,937 ","$12,602 ","$18,526 ","$13,197 ","$2,604 ","$1,615 ","$37,713 ","$24,936 ", 61 , 67 , 396 , 319 , 466 , 334 , 66 , 41 , 937 , 631 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item40,Supplier410,National,"$3,210 ","$2,977 ","$1,198 ","$1,029 ","$6,411 ","$6,696 ","$38,244 ","$35,791 ","$94,374 ","$70,694 ", 78 , 76 , 29 , 26 , 156 , 172 , 933 , 917 ," 2,588 "," 2,036 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item41,Supplier135,National,"$2,422 ",$0 ,"$19,789 ",$0 ,"$14,446 ",$0 ,"$19,788 ",$0 ,"$260,732 ",$0 , 173 , -   ," 1,416 ", -   ," 1,047 ", -   ," 1,453 ", -   ," 19,017 ", -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item42,Supplier426,National,$152 ,($2),"$9,590 ","$7,865 ","$15,292 ","$21,325 ","$53,021 ","$69,671 ","$108,902 ","$158,355 ", 5 , (0), 320 , 260 , 510 , 775 ," 1,768 "," 2,591 "," 3,598 "," 5,682 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item43,Supplier196,National,"$1,032 ","$1,866 ","$8,146 ","$12,564 ","$4,735 ","$7,718 ","$13,391 ","$21,413 ","$134,965 ","$191,355 ", 26 , 48 , 204 , 323 , 118 , 197 , 335 , 568 ," 3,335 "," 5,358 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item44,Supplier184,National,"$1,992 ","$1,186 ","$2,632 ","$1,426 ","$7,362 ","$4,563 ","$8,680 ","$5,541 ","$64,346 ","$40,982 ", 74 , 53 , 103 , 63 , 277 , 203 , 321 , 246 ," 2,614 "," 1,822 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item45,Supplier196,National,$858 ,"$1,245 ","$2,568 ","$3,102 ","$5,270 ","$6,613 ","$33,128 ","$35,678 ","$217,276 ","$222,902 ", 19 , 30 , 57 , 74 , 117 , 158 , 737 , 850 ," 5,138 "," 5,438 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item46,Supplier135,National,"$1,812 ","$1,288 ","$8,850 ","$6,168 ",$517 ,$534 ,"$1,317 ","$1,124 ","$29,748 ","$28,404 ", 46 , 39 , 255 , 187 , 15 , 17 , 38 , 35 , 831 , 886 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item47,Supplier412,National,$65 ,$62 ,"$10,187 ","$10,141 ","$15,552 ","$17,326 ","$26,043 ","$26,443 ","$36,906 ","$35,433 ", 2 , 2 , 252 , 265 , 386 , 452 , 646 , 690 , 918 , 979 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item48,Supplier135,National,"$1,020 ",$827 ,"$6,023 ","$3,291 ","$7,124 ","$5,635 ","$42,960 ","$28,778 ","$82,922 ","$64,786 ", 26 , 25 , 181 , 100 , 219 , 176 ," 1,309 ", 918 ," 2,394 "," 2,030 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item49,Supplier196,National,$221 ,$389 ,"$10,836 ","$15,484 ","$13,893 ","$22,851 ","$2,194 ","$2,771 ","$201,047 ","$235,035 ", 5 , 9 , 241 , 369 , 309 , 544 , 49 , 66 ," 4,613 "," 5,725 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item50,Supplier135,National,$161 ,$120 ,"$1,710 ","$1,202 ",$699 ,$584 ,"$19,888 ","$17,294 ","$201,311 ","$193,508 ", 4 , 4 , 44 , 36 , 20 , 19 , 566 , 584 ," 5,585 "," 6,370 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item51,Supplier196,National,"$1,219 ","$1,035 ","$8,897 ","$8,023 ","$4,783 ","$5,370 ","$4,653 ","$4,170 ","$76,473 ","$70,309 ", 28 , 25 , 202 , 191 , 108 , 128 , 105 , 99 ," 1,742 "," 1,711 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item52,Supplier135,National,$602 ,$702 ,"$8,595 ","$8,181 ","$8,751 ","$7,590 ","$15,959 ","$12,915 ","$36,347 ","$31,022 ", 15 , 21 , 219 , 248 , 253 , 240 , 459 , 413 ," 1,042 ", 978 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item53,Supplier135,National,$584 ,$243 ,"$7,137 ","$3,526 ","$3,488 ","$2,256 ","$4,381 ","$3,463 ","$16,972 ","$15,754 ", 17 , 7 , 214 , 107 , 105 , 72 , 132 , 112 , 492 , 496 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item54,Supplier135,National,"$1,026 ","$1,283 ","$4,773 ","$4,601 ","$3,963 ","$2,834 ","$6,078 ","$4,495 ","$65,379 ","$48,146 ", 26 , 39 , 122 , 140 , 114 , 89 , 175 , 144 ," 1,876 "," 1,515 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item55,Supplier196,National,"$1,090 ",$0 ,$813 ,$0 ,"$3,098 ",$0 ,"$8,377 ",$0 ,"$11,770 ",$0 , 38 , -   , 28 , -   , 100 , -   , 271 , -   , 360 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item56,Supplier196,National,$740 ,$884 ,"$3,373 ","$3,107 ","$4,480 ","$4,358 ","$15,547 ","$15,469 ","$48,159 ","$49,568 ", 19 , 24 , 85 , 84 , 113 , 118 , 394 , 418 ," 1,219 "," 1,384 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item57,Supplier508,National,$213 ,$144 ,"$3,404 ","$2,375 ","$3,908 ","$1,576 ","$27,512 ","$14,562 ","$58,295 ","$42,605 ", 5 , 4 , 81 , 60 , 101 , 40 , 716 , 369 ," 1,470 "," 1,079 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item58,Supplier196,National,$120 ,$0 ,"$5,372 ",$0 ,"$3,920 ",$0 ,"$10,305 ",$0 ,"$8,832 ",$0 , 4 , -   , 181 , -   , 122 , -   , 324 , -   , 263 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item59,Supplier508,National,$132 ,$49 ,"$2,451 ",$838 ,"$2,051 ",$937 ,"$5,291 ","$2,875 ","$6,745 ","$2,604 ", 3 , 1 , 61 , 21 , 51 , 23 , 132 , 72 , 169 , 65 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item60,Supplier184,National,$218 ,$0 ,"$3,444 ",$0 ,$295 ,$0 ,"$13,319 ",$0 ,"$49,979 ",$0 , 8 , -   , 135 , -   , 11 , -   , 492 , -   ," 2,033 ", -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item61,Supplier412,National,$323 ,$0 ,"$5,790 ",$0 ,"$1,267 ",$0 ,"$9,515 ",$0 ,"$9,748 ",$0 , 18 , -   , 322 , -   , 70 , -   , 529 , -   , 542 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item62,Supplier135,National,$524 ,$302 ,"$3,844 ","$1,567 ","$1,897 ","$1,034 ","$23,342 ","$11,631 ","$76,841 ","$81,558 ", 31 , 12 , 227 , 63 , 112 , 41 ," 1,381 ", 466 ," 3,367 "," 3,265 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item63,Supplier135,National,$129 ,$0 ,"$3,514 ",$0 ,"$4,204 ",$0 ,"$9,733 ",$0 ,"$23,253 ",$0 , 4 , -   , 112 , -   , 138 , -   , 318 , -   , 747 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item64,Supplier135,National,$2 ,$0 ,"$1,801 ",$158 ,$30 ,$0 ,"$9,333 ",$182 ,"$31,931 ",$179 , 0 , 0 , 42 , 4 , 1 , -   , 258 , 5 , 902 , 5 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item65,Supplier410,National,$49 ,$0 ,"$2,375 ",$0 ,"$3,431 ",$0 ,$625 ,$0 ,"$10,055 ",$0 , 1 , -   , 59 , -   , 86 , -   , 16 , -   , 251 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item66,Supplier508,National,$55 ,$18 ,"$2,945 ","$1,573 ",$553 ,$586 ,$386 ,$271 ,"$6,787 ","$3,479 ", 2 , 1 , 105 , 61 , 20 , 23 , 14 , 11 , 245 , 136 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item67,Supplier426,National,$371 ,$0 ,"$1,153 ",$0 ,"$1,045 ",$0 ,"$3,516 ",$0 ,"$4,741 ",$0 , 9 , -   , 29 , -   , 26 , -   , 88 , -   , 119 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item68,Supplier508,National,$261 ,$292 ,$8 ,$13 ,"$2,540 ","$3,778 ","$5,610 ","$8,606 ","$48,831 ","$30,711 ", 9 , 9 , 0 , 0 , 91 , 115 , 201 , 261 ," 1,704 ", 931 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item69,Supplier135,National,$305 ,$305 ,$911 ,$707 ,"$2,651 ","$4,361 ","$6,879 ","$7,684 ","$2,860 ","$3,004 ", 8 , 10 , 25 , 22 , 74 , 139 , 191 , 244 , 79 , 98 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item70,Supplier135,National,$320 ,$359 ,"$1,488 ","$1,196 ","$3,436 ","$2,523 ","$1,905 ","$1,696 ","$17,057 ","$9,991 ", 9 , 11 , 41 , 38 , 95 , 80 , 53 , 54 , 474 , 317 
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item71,Supplier135,National,$358 ,$0 ,$25 ,$0 ,$0 ,$0 ,$197 ,$0 ,$308 ,$0 , 13 , -   , 1 , -   , -   , -   , 7 , -   , 11 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item72,Supplier196,National,$408 ,$0 ,$10 ,$0 ,$148 ,$0 ,"$1,318 ",$0 ,$784 ,$0 , 14 , -   , 0 , -   , 5 , -   , 44 , -   , 25 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item73,Supplier410,National,$23 ,$0 ,"$1,386 ",$0 ,$633 ,$0 ,"$7,170 ",$0 ,"$2,009 ",$0 , 1 , -   , 35 , -   , 16 , -   , 179 , -   , 50 , -   
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item74,Supplier508,National,$291 ,$35 ,"$2,252 ","$2,075 ","$2,282 ","$1,202 ","$4,484 ","$3,323 ","$26,674 ","$14,385 ", 10 , 1 , 80 , 83 , 81 , 48 , 160 , 133 , 962 , 576 
